field,column,group,type
study_id,child_id,child,study_id
data_age,age,admin,data_age
ethnicity,race,child,ethnicity
sex,sex,child,sex
mom_ed,momed,child,mom_ed
Item_1,ABOUT_2,item,word
Item_2,AFTER,item,word
Item_3,AIRPLANE,item,word
Item_4,ALL,item,word
Item_5,AND,item,word
Item_6,ANGRY,item,word
Item_7,ANIMAL,item,word
Item_8,ANY,item,word
Item_9,APPLE,item,word
Item_10,ASK,item,word
Item_11,AUNT,item,word
Item_12,AWAY,item,word
Item_13,BABY,item,word
Item_14,BACK,item,word
Item_15,BAD,item,word
Item_16,BALL,item,word
Item_17,BALLOON,item,word
Item_18,BANANA,item,word
Item_19,BAND_AID_1,item,word
Item_20,BASEBALL,item,word
Item_21,BASEMENT,item,word
Item_22,BASKETBALL,item,word
Item_23,BASKET_1,item,word
Item_24,BATH,item,word
Item_25,BAT_1,item,word
Item_26,BEACH,item,word
Item_27,BEANS,item,word
Item_28,BEAR,item,word
Item_29,BECAUSE,item,word
Item_30,BED,item,word
Item_31,BEDROOM,item,word
Item_32,BEE,item,word
Item_33,BEFORE,item,word
Item_34,BEHIND,item,word
Item_35,BELT,item,word
Item_36,BETTER,item,word
Item_37,BIB,item,word
Item_38,BICYCLE,item,word
Item_39,BIG,item,word
Item_40,BIRD,item,word
Item_41,BITE,item,word
Item_42,BLACK,item,word
Item_43,BLANKET,item,word
Item_44,BLOW,item,word
Item_45,BLUE,item,word
Item_46,BOAT,item,word
Item_47,BOOK,item,word
Item_48,BOOTS,item,word
Item_49,BOTTLE,item,word
Item_50,BOWL,item,word
Item_51,BOWLING,item,word
Item_52,BOX,item,word
Item_53,BOY,item,word
Item_54,BREAD,item,word
Item_55,BREAK,item,word
Item_56,BREAKFAST,item,word
Item_57,BRING,item,word
Item_58,BROTHER,item,word
Item_59,BROWN,item,word
Item_60,BRUSH,item,word
Item_61,BUBBLES,item,word
Item_62,BUG,item,word
Item_63,BUILDING,item,word
Item_64,BURP,item,word
Item_65,BUS,item,word
Item_66,BUTTER,item,word
Item_67,BUTTERFLY,item,word
Item_68,BUTTONS,item,word
Item_69,BUY,item,word
Item_70,BYE,item,word
Item_71,CAKE,item,word
Item_72,CAMERA,item,word
Item_73,CAMPING,item,word
Item_74,CAN,item,word
Item_75,CANDY_1,item,word
Item_76,CANNOT,item,word
Item_77,CAR,item,word
Item_78,CAREFUL,item,word
Item_79,CARROT,item,word
Item_80,CAT,item,word
Item_81,CATCH,item,word
Item_82,CEREAL,item,word
Item_83,CHAIR,item,word
Item_84,CHASE,item,word
Item_85,CHAT,item,word
Item_86,CHEEK,item,word
Item_87,CHEESE,item,word
Item_88,CHILDREN,item,word
Item_89,CHOCOLATE,item,word
Item_90,CHURCH,item,word
Item_91,CITY,item,word
