itemID,item,type,category,choices,definition,complexity_category,gloss,uni_lemma
item_25,ALLIGATOR,word,animals,produces,ALLIGATOR,NA,alligator,crocodile
item_26,ANIMAL,word,animals,produces,ANIMAL,NA,animal,animal
item_27,BEAR,word,animals,produces,BEAR,NA,bear,bear
item_28,BEE,word,animals,produces,BEE,NA,bee,bee
item_29,BIRD_CHICKEN,word,animals,produces,BIRD/CHICKEN,NA,bird/chicken,bird
item_30,BUG_ANT,word,animals,produces,BUG/ANT,NA,bug/ant,bug
item_31,BUNNY_RABBIT,word,animals,produces,BUNNY/RABBIT,NA,bunny/rabbit,bunny
item_32,BUTTERFLY,word,animals,produces,BUTTERFLY,NA,butterfly,butterfly
item_33,CAT,word,animals,produces,CAT,NA,cat,cat
item_34,COW,word,animals,produces,COW,NA,cow,cow
item_35,DEER,word,animals,produces,DEER,NA,deer,deer
item_36,DOG,word,animals,produces,DOG,NA,dog,dog
item_37,DONKEY,word,animals,produces,DONKEY,NA,donkey,donkey
item_38,DUCK,word,animals,produces,DUCK,NA,duck,duck
item_39,ELEPHANT,word,animals,produces,ELEPHANT,NA,elephant,elephant
item_40,FISH,word,animals,produces,FISH,NA,fish,fish (animal)
item_40,FISH,word,animals,produces,FISH,NA,fish,fish (food)
item_41,FOX,word,animals,produces,FOX,NA,fox,fox
item_42,FROG,word,animals,produces,FROG,NA,frog,frog
item_43,GIRAFFE,word,animals,produces,GIRAFFE,NA,giraffe,giraffe
item_44,HEN,word,animals,produces,HEN,NA,hen,hen
item_45,HORSE,word,animals,produces,HORSE,NA,horse,horse
item_46,LION,word,animals,produces,LION,NA,lion,lion
item_47,MONKEY,word,animals,produces,MONKEY,NA,monkey,monkey
item_48,MOUSE,word,animals,produces,MOUSE,NA,mouse,mouse
item_49,OWL,word,animals,produces,OWL,NA,owl,owl
item_50,PIG,word,animals,produces,PIG,NA,pig,pig
item_51,ROOSTER,word,animals,produces,ROOSTER,NA,rooster,rooster
item_52,SHEEP,word,animals,produces,SHEEP,NA,sheep,sheep
item_53,SKUNK,word,animals,produces,SKUNK,NA,skunk,skunk
item_54,SNAKE,word,animals,produces,SNAKE,NA,snake,snake
item_55,SPIDER,word,animals,produces,SPIDER,NA,spider,spider
item_56,SQUIRREL,word,animals,produces,SQUIRREL,NA,squirrel,squirrel
item_57,TIGER,word,animals,produces,TIGER,NA,tiger,tiger
item_58,TURKEY,word,animals,produces,TURKEY,NA,turkey,turkey
item_59,TURTLE,word,animals,produces,TURTLE,NA,turtle,turtle
item_60,WOLF,word,animals,produces,WOLF,NA,wolf,wolf
item_61,ZEBRA,word,animals,produces,ZEBRA,NA,zebra,zebra
item_62,BELT,word,clothing,produces,BELT,NA,belt,belt
item_63,BIB,word,clothing,produces,BIB,NA,bib,bib
item_64,BOOT,word,clothing,produces,BOOT,NA,boot,boots
item_65,BUTTON,word,clothing,produces,BUTTON,NA,button,button
item_66,COAT_JACKET,word,clothing,produces,COAT/JACKET,NA,coat/jacket,coat
item_67,DIAPER,word,clothing,produces,DIAPER,NA,diaper,diaper
item_68,DRESS_CLOTHES,word,clothing,produces,DRESS/CLOTHES,NA,dress/clothes,dress (object)
item_69,EARRING,word,clothing,produces,EARRING,NA,earring,earring
item_70,GLASSES,word,clothing,produces,GLASSES,NA,glasses,glasses
item_71,GLOVES,word,clothing,produces,GLOVES,NA,gloves,glove
item_72,HAT,word,clothing,produces,HAT,NA,hat,hat
item_73,HEARING_AID,word,clothing,produces,HEARING AID,NA,hearing aid,NA
item_74,NECKLACE,word,clothing,produces,NECKLACE,NA,necklace,necklace
item_75,PAJAMAS,word,clothing,produces,PAJAMAS,NA,pajamas,pajamas
item_76,PANTS,word,clothing,produces,PANTS,NA,pants,pants
item_77,SANDALS,word,clothing,produces,SANDAL,NA,sandals,sandal
item_78,SCARF,word,clothing,produces,SCARF,NA,scarf,scarf
item_79,SHIRT,word,clothing,produces,SHIRT,NA,shirt,shirt
item_80,SHOE,word,clothing,produces,SHOE,NA,shoe,shoe
item_81,SNOWSUIT,word,clothing,produces,SNOWSUIT,NA,snowsuit,snowsuit
item_82,SOCK,word,clothing,produces,SOCK,NA,sock,sock
item_83,SWEATER,word,clothing,produces,SWEATER,NA,sweater,sweater
item_84,SWIMSUIT,word,clothing,produces,SWIMSUIT,NA,swimsuit,swimsuit
item_85,UNDERPANTS,word,clothing,produces,UNDERPANTS,NA,underpants,underpants
item_86,WRISTWATCH,word,clothing,produces,WRISTWATCH,NA,wristwatch,watch (object)
item_87,ZIPPER,word,clothing,produces,ZIPPER,NA,zipper,zipper
item_88,BASEBALL,word,games_routines,produces,BASEBALL,NA,baseball,baseball
item_89,BASKETBALL,word,games_routines,produces,BASKETBALL,NA,basketball,basketball
item_90,BATH,word,games_routines,produces,BATH,NA,bath,bath
item_91,BIRTHDAY,word,games_routines,produces,BIRTHDAY,NA,birthday,birthday
item_92,BOWLING,word,games_routines,produces,BOWLING,NA,bowling,bowling
item_93,BREAKFAST,word,games_routines,produces,BREAKFAST,NA,breakfast,breakfast
item_94,BRUSH_HAIR,word,games_routines,produces,BRUSH-HAIR,NA,brush-hair,brush (action)
item_95,BYE,word,games_routines,produces,BYE,NA,bye,bye
item_96,CALL_TDD,word,games_routines,produces,CALL(TDD),NA,call(tdd),NA
item_97,DINNER,word,games_routines,produces,DINNER,NA,dinner,dinner
item_98,FOOTBALL,word,games_routines,produces,FOOTBALL,NA,football,football
item_99,GOLF,word,games_routines,produces,GOLF,NA,golf,golf
item_100,HI,word,games_routines,produces,HI,NA,hi,hi
item_101,I_LOVE_YOU,word,games_routines,produces,I-LOVE-YOU,NA,i-love-you,NA
item_102,LETS_SEE_WELL_SEE,word,games_routines,produces,LET'S-SEE,NA,let's-see/we'll see,NA
item_103,LUNCH,word,games_routines,produces,LUNCH,NA,lunch,lunch
item_104,"NAP",word,games_routines,produces,"NAP",NA,nap,nap
item_105,NO,word,games_routines,produces,NO,NA,no,no
item_106,PEE_BM,word,games_routines,produces,PEE/BM,NA,pee/bm,pee
item_107,PEEKABOO,word,games_routines,produces,PEEKABOO,NA,peekaboo,peekaboo
item_108,PLEASE,word,games_routines,produces,PLEASE,NA,please,please
item_109,SHH_SHUSH,word,games_routines,produces,SHH/SHUSH,NA,shh/shush,shh
item_110,SHOPPING,word,games_routines,produces,SHOPPING,NA,shopping,shopping
item_111,STORY,word,games_routines,produces,STORY,NA,story,story
item_112,THANK_YOU,word,games_routines,produces,THANK-YOU,NA,thank-you,thank you
item_113,WASH_FACE,word,games_routines,produces,WASH-FACE,NA,wash-face,wash
item_114,WASH_HANDS,word,games_routines,produces,WASH-HANDS,NA,wash-hands,wash
item_115,YES,word,games_routines,produces,YES,NA,yes,yes
item_116,AWAY,word,action_words,produces,AWAY,NA,away,away
item_117,BITE,word,action_words,produces,BITE,NA,bite,bite
item_118,BLOW,word,action_words,produces,BLOW,NA,blow,blow
item_119,BREAK,word,action_words,produces,BREAK,NA,break,break
item_120,BRING_CARRY,word,action_words,produces,BRING/CARRY,NA,bring/carry,bring
item_121,BUILD,word,action_words,produces,BUILD,NA,build,build
item_122,BUY,word,action_words,produces,BUY,NA,buy,buy
item_123,CATCH,word,action_words,produces,CATCH,NA,catch,catch
item_123,CATCH,word,action_words,produces,CATCH,NA,catch,catch
item_124,CHASE,word,action_words,produces,CHASE,NA,chase,chase
item_125,CHAT,word,action_words,produces,CHAT,NA,chat,talk
item_126,CLAP,word,action_words,produces,CLAP,NA,clap,clap
item_127,CLEAN,word,action_words,produces,CLEAN,NA,clean,clean (action)
item_128,CLIMB,word,action_words,produces,CLIMB,NA,climb,climb
item_129,CLOSE,word,action_words,produces,CLOSE,NA,close,close
item_130,COOK,word,action_words,produces,COOK,NA,cook,cook
item_131,CRY,word,action_words,produces,CRY,NA,cry,cry
item_132,CUT,word,action_words,produces,CUT,NA,cut,cut
item_133,DANCE,word,action_words,produces,DANCE,NA,dance,dance
item_134,DRAW,word,action_words,produces,DRAW,NA,draw,draw
item_135,DRINK,word,action_words,produces,DRINK,NA,drink,drink (action)
item_135,DRINK,word,action_words,produces,DRINK,NA,drink,drink (action)
item_136,DROP,word,action_words,produces,DROP,NA,drop,drop
item_137,EAT,word,action_words,produces,EAT,NA,eat,eat
item_138,ENTER,word,action_words,produces,ENTER,NA,enter,enter
item_139,FALL,word,action_words,produces,FALL,NA,fall,fall
item_140,FEED,word,action_words,produces,FEED,NA,feed,feed
item_141,FIND,word,action_words,produces,FIND,NA,find,find
item_142,FINISH,word,action_words,produces,FINISH,NA,finish,finish
item_143,FIX,word,action_words,produces,FIX,NA,fix,fix
item_144,GET_TAKE,word,action_words,produces,GET/TAKE,NA,get/take,take
item_145,GET_A_SHOT,word,action_words,produces,GET-A-SHOT,NA,get-a-shot,NA
item_146,GIVE,word,action_words,produces,GIVE,NA,give,give
item_147,GO,word,action_words,produces,GO,NA,go,go
item_148,HAVE,word,action_words,produces,HAVE,NA,have,have
item_149,HEAR,word,action_words,produces,HEAR,NA,hear,hear
item_150,HELP,word,action_words,produces,HELP,NA,help,help
item_151,HIDE,word,action_words,produces,HIDE,NA,hide,hide
item_152,HIT,word,action_words,produces,HIT,NA,hit,hit
item_153,HOLD,word,action_words,produces,HOLD,NA,hold,hold
item_154,HUG,word,action_words,produces,HUG,NA,hug,hug
item_155,HURRY,word,action_words,produces,HURRY,NA,hurry,hurry
item_156,JUMP,word,action_words,produces,JUMP,NA,jump,jump
item_157,KICK,word,action_words,produces,KICK,NA,kick,kick
item_158,KISS,word,action_words,produces,KISS,NA,kiss,kiss
item_159,KNOCK,word,action_words,produces,KNOCK,NA,knock,knock
item_160,LEARN,word,action_words,produces,LEARN,NA,learn,learn
item_161,LICK,word,action_words,produces,LICK,NA,lick,lick
item_162,LIKE,word,action_words,produces,LIKE,NA,like,like
item_163,LOOK,word,action_words,produces,LOOK,NA,look,look
item_164,LOVE,word,action_words,produces,LOVE,NA,love,love
item_165,MAKE,word,action_words,produces,MAKE,NA,make,make
item_166,OPEN,word,action_words,produces,OPEN,NA,open,open (action)
item_167,PAINT,word,action_words,produces,PAINT,NA,paint,paint (action)
item_168,PICK,word,action_words,produces,PICK/CHOOSE,NA,pick,pick
item_169,PLAY,word,action_words,produces,PLAY,NA,play,play
item_170,POUR,word,action_words,produces,POUR,NA,pour,pour
item_171,PULL,word,action_words,produces,PULL,NA,pull,pull
item_172,PUSH,word,action_words,produces,PUSH,NA,push,push
item_173,PUT,word,action_words,produces,PUT,NA,put,put
item_174,READ,word,action_words,produces,READ,NA,read,read
item_175,RIDE_IN,word,action_words,produces,RIDE-IN,NA,ride-in,ride
item_176,RUN,word,action_words,produces,RUN,NA,run,run
item_177,SAY,word,action_words,produces,SAY,NA,say,say
item_178,SEARCH_FOR,word,action_words,produces,SEARCH-FOR,NA,search-for,look
item_179,SEE,word,action_words,produces,SEE,NA,see,see
item_180,SHAKE,word,action_words,produces,SHAKE,NA,shake,shake
item_181,SHARE,word,action_words,produces,SHARE,NA,share,share
item_182,SHOW,word,action_words,produces,SHOW,NA,show,show
item_183,SIGN,word,action_words,produces,SIGN,NA,sign,sign (action)
item_184,SIT,word,action_words,produces,SIT,NA,sit,sit
item_185,SKATE,word,action_words,produces,SKATE,NA,skate,skate (action)
item_186,SLEEP,word,action_words,produces,SLEEP,NA,sleep,sleep
item_187,SLIDE,word,action_words,produces,SLIDE,NA,slide,slide (action)
item_187,SLIDE,word,action_words,produces,SLIDE,NA,slide,slide (action)
item_188,SMILE,word,action_words,produces,SMILE,NA,smile,smile
item_189,SPILL,word,action_words,produces,SPILL,NA,spill,spill
item_190,STAND,word,action_words,produces,STAND,NA,stand,stand
item_191,STAY,word,action_words,produces,STAY,NA,stay,stay
item_192,STOP,word,action_words,produces,STOP,NA,stop,stop
item_193,SWIM,word,action_words,produces,SWIM,NA,swim,swim
item_194,SWING,word,action_words,produces,SWING,NA,swing,swing (action)
item_194,SWING,word,action_words,produces,SWING,NA,swing,swing (action)
item_195,TAKE_PILL,word,action_words,produces,TAKE-PILL,NA,take-pill,NA
item_196,TALK,word,action_words,produces,TALK,NA,talk,talk
item_197,TASTE,word,action_words,produces,TASTE,NA,taste,taste
item_198,TEACH,word,action_words,produces,TEACH,NA,teach,teach
item_199,TEAR,word,action_words,produces,TEAR/RIP,NA,tear,tear
item_200,TELL,word,action_words,produces,TELL,NA,tell,tell
item_201,THINK,word,action_words,produces,THINK,NA,think,think
item_202,THROW,word,action_words,produces,THROW,NA,throw,throw
item_203,TOUCH,word,action_words,produces,TOUCH,NA,touch,touch
item_204,WAIT,word,action_words,produces,WAIT,NA,wait,wait
item_205,WALK,word,action_words,produces,WALK,NA,walk,walk
item_206,WASH,word,action_words,produces,WASH,NA,wash,wash
item_207,WATCH,word,action_words,produces,WATCH,NA,watch,watch (action)
item_208,WORK,word,action_words,produces,WORK,NA,work,work (action)
item_208,WORK,word,action_words,produces,WORK,NA,work,work (action)
item_209,BASEMENT,word,furniture_rooms,produces,BASEMENT,NA,basement,basement
item_210,BATHROOM_TOILET,word,furniture_rooms,produces,BATHROOM/TOILET,NA,bathroom/toilet,bathroom
item_211,BATHTUB,word,furniture_rooms,produces,BATHTUB,NA,bathtub,bathtub
item_212,BED,word,furniture_rooms,produces,BED,NA,bed,bed
item_213,BEDROOM,word,furniture_rooms,produces,BEDROOM,NA,bedroom,bedroom
item_214,CLOSET,word,furniture_rooms,produces,CLOSET,NA,closet,closet
item_215,DOOR,word,furniture_rooms,produces,DOOR,NA,door,door
item_216,DRAWER,word,furniture_rooms,produces,DRAWER,NA,drawer,drawer
item_217,DRYER,word,furniture_rooms,produces,DRYER,NA,dryer,dryer
item_218,GARAGE,word,furniture_rooms,produces,GARAGE,NA,garage,garage
item_219,KITCHEN,word,furniture_rooms,produces,KITCHEN,NA,kitchen,kitchen
item_220,LIVING_ROOM,word,furniture_rooms,produces,LIVING ROOM,NA,living room,living room
item_221,MIRROR,word,furniture_rooms,produces,MIRROR,NA,mirror,mirror
item_222,REFRIGERATOR,word,furniture_rooms,produces,REFRIGERATOR,NA,refrigerator,refrigerator
item_222,REFRIGERATOR,word,furniture_rooms,produces,REFRIGERATOR,NA,refrigerator,refrigerator
item_223,ROCKING_CHAIR,word,furniture_rooms,produces,ROCKING CHAIR,NA,rocking chair,rocking chair
item_224,ROOM,word,furniture_rooms,produces,ROOM,NA,room,room
item_225,SHOWER,word,furniture_rooms,produces,SHOWER,NA,shower,shower
item_226,STAIRS,word,furniture_rooms,produces,STAIRS,NA,stairs,stairs
item_227,TABLE,word,furniture_rooms,produces,TABLE,NA,table,table
item_228,TV,word,furniture_rooms,produces,TV,NA,tv,TV
item_229,WASH_MACHINE,word,furniture_rooms,produces,WASH MACHINE,NA,wash machine,washing machine
item_230,WINDOW,word,furniture_rooms,produces,WINDOW,NA,window,window
item_231,BALL,word,toys,produces,BALL,NA,ball,ball
item_232,BALLOON,word,toys,produces,BALLOON,NA,balloon,balloon
item_233,BAT,word,toys,produces,BAT,NA,bat,bat (object)
item_234,BOOK,word,toys,produces,BOOK,NA,book,book
item_235,BUBBLES,word,toys,produces,BUBBLES,NA,bubbles,bubbles
item_236,DOLL,word,toys,produces,DOLL,NA,doll,doll
item_237,GAME,word,toys,produces,GAME,NA,game,game
item_238,PENCIL,word,toys,produces,PENCIL,NA,pencil,pencil
item_239,PRESENT,word,toys,produces,PRESENT/GIFT,NA,present,present
item_240,PUZZLE,word,toys,produces,PUZZLE,NA,puzzle,puzzle
item_241,ROBOT,word,toys,produces,ROBOT,NA,robot,robot
item_242,TOY,word,toys,produces,TOY,NA,toy,toy (object)
item_243,AUNT,word,people,produces,AUNT,NA,aunt,aunt
item_243,AUNT,word,people,produces,AUNT,NA,aunt,aunt
item_244,BABY,word,people,produces,BABY,NA,baby,baby
item_244,BABY,word,people,produces,BABY,NA,baby,baby
item_245,BABYSITTER,word,people,produces,BABYSITTER,NA,babysitter,babysitter
item_245,BABYSITTER,word,people,produces,BABYSITTER,NA,babysitter,babysitter
item_246,BOY,word,people,produces,BOY,NA,boy,boy
item_246,BOY,word,people,produces,BOY,NA,boy,boy
item_247,BROTHER,word,people,produces,BROTHER,NA,brother,brother
item_247,BROTHER,word,people,produces,BROTHER,NA,brother,brother
item_248,CHILD_KID,word,people,produces,CHILD/KID,NA,child/kid,child
item_248,CHILD_KID,word,people,produces,CHILD/KID,NA,child/kid,child
item_249,Childs_Own_Name,word,people,produces,Child's Own Name,NA,child's own name,child's own name
item_249,Childs_Own_Name,word,people,produces,Child's Own Name,NA,(child's own name),child's own name
item_250,CLOWN,word,people,produces,CLOWN,NA,clown,clown
item_250,CLOWN,word,people,produces,CLOWN,NA,clown,clown
item_251,COUSIN,word,people,produces,COUSIN,NA,cousin,cousin
item_252,COWBOY,word,people,produces,COWBOY,NA,cowboy,cowboy
item_252,COWBOY,word,people,produces,COWBOY,NA,cowboy,cowboy
item_253,DADDY,word,people,produces,DADDY,NA,daddy,daddy
item_253,DADDY,word,people,produces,DADDY,NA,daddy,daddy
item_254,DOCTOR,word,people,produces,DOCTOR,NA,doctor,doctor
item_254,DOCTOR,word,people,produces,DOCTOR,NA,doctor,doctor
item_255,FIREMAN,word,people,produces,FIREMAN,NA,fireman,fireman
item_255,FIREMAN,word,people,produces,FIREMAN,NA,fireman,fireman
item_256,FRIEND,word,people,produces,FRIEND,NA,friend,friend
item_256,FRIEND,word,people,produces,FRIEND,NA,friend,friend
item_257,GIRL,word,people,produces,GIRL,NA,girl,girl
item_257,GIRL,word,people,produces,GIRL,NA,girl,girl
item_258,GRANDMA,word,people,produces,GRANDMA,NA,grandma,grandma
item_258,GRANDMA,word,people,produces,GRANDMA,NA,grandma,grandma
item_259,GRANDPA,word,people,produces,GRANDPA,NA,grandpa,grandpa
item_259,GRANDPA,word,people,produces,GRANDPA,NA,grandpa,grandpa
item_260,INDIAN,word,people,produces,INDIAN,NA,indian,NA
item_260,INDIAN,word,people,produces,INDIAN,NA,indian,NA
item_261,MAILMAN,word,people,produces,MAILMAN,NA,mailman,mailman
item_261,MAILMAN,word,people,produces,MAILMAN,NA,mailman,mailman
item_262,MAN,word,people,produces,MAN,NA,man,man
item_262,MAN,word,people,produces,MAN,NA,man,man
item_263,MOMMY,word,people,produces,MOMMY,NA,mommy,mommy
item_263,MOMMY,word,people,produces,MOMMY,NA,mommy,mommy
item_264,MONSTER,word,people,produces,MONSTER,NA,monster,monster
item_265,"NAME_SIGNS",word,people,produces,"NAME SIGNS",NA,name signs,NA
item_266,NURSE,word,people,produces,NURSE,NA,nurse,nurse
item_266,NURSE,word,people,produces,NURSE,NA,nurse,nurse
item_267,PEOPLE,word,people,produces,PEOPLE,NA,people,people
item_267,PEOPLE,word,people,produces,PEOPLE,NA,people,people
item_268,POLICE,word,people,produces,POLICE,NA,police,policeman
item_268,POLICE,word,people,produces,POLICE,NA,police,policeman
item_269,SANTA_CLAUS,word,people,produces,SANTA CLAUS,NA,santa claus,santa claus
item_269,SANTA_CLAUS,word,people,produces,SANTA CLAUS,NA,santa claus,santa claus
item_270,SISTER,word,people,produces,SISTER,NA,sister,sister
item_270,SISTER,word,people,produces,SISTER,NA,sister,sister
item_271,TEACHER,word,people,produces,TEACHER,NA,teacher,teacher
item_271,TEACHER,word,people,produces,TEACHER,NA,teacher,teacher
