itemID,item,type,category,choices,definition
item_1,resp_namesign,first_signs,,yes; no,Respond to his/her name sign?
item_2,respond_no,first_signs,,yes; no,Respond to NO or FINISH by stopping what he/she is doing?
item_3,where_momdad,first_signs,,yes; no,Looking for mommy/daddy if you sign WHERE MOMMY/DADDY?
item_4,BE_CAREFUL,phrases,,understands,BE-CAREFUL
item_5,BRING_ME,phrases,,understands,BRING-ME
item_6,CHANGE_DIAPER,phrases,,understands,CHANGE DIAPER
item_7,COME_HERE,phrases,,understands,COME-HERE
item_8,DAD_MOM_HOME,phrases,,understands,DADDY/MOMMY HOME
item_9,DONT_NOTOUCH,phrases,,understands,DON’T TOUCH/NO TOUCH
item_10,FINISH,phrases,,understands,FINISH
item_11,GET_UP,phrases,,understands,GET-UP
item_12,GIVE_TO_MOMMY,phrases,,understands,GIVE-TO MOMMY
item_13,GIVE_ME_HUG,phrases,,understands,GIVE-ME HUG
item_14,GIVE_ME_KISS,phrases,,understands,GIVE-ME KISS
item_15,GOOD_GIRL_BOY,phrases,,understands,GOOD GIRL/BOY
item_16,OPEN_YOUR_MOUTH,phrases,,understands,OPEN YOUR MOUTH
item_17,SIT_DOWN,phrases,,understands,SIT-DOWN
item_18,SPIT_IT_OUT,phrases,,understands,SPIT IT OUT
item_19,TIME_GO_BYE_BYE,phrases,,understands,TIME GO BYE-BYE
item_20,THROW_BALL,phrases,,understands,THROW BALL
item_21,YOU_HUNGRY?,phrases,,understands,YOU HUNGRY?
item_22,YOU_TIRED_SLEEPY,phrases,,understands,YOU TIRED/SLEEPY?
item_23,YOU_WANT_GO,phrases,,understands,YOU-WANT GO?
item_24,YOU_WANT_MORE,phrases,,understands,YOU-WANT MORE?
item_25,ALLIGATOR,word,animals,understands; produces,ALLIGATOR
item_26,ANIMAL,word,animals,understands; produces,ANIMAL
item_27,ANT_BUG,word,animals,understands; produces,ANT/BUG
item_28,BEAR,word,animals,understands; produces,BEAR
item_29,BEE,word,animals,understands; produces,BEE
item_30,BIRD_CHICKEN,word,animals,understands; produces,BIRD/CHICKEN
item_31,BUNNY_RABBIT,word,animals,understands; produces,BUNNY/RABBIT
item_32,BUTTERFLY,word,animals,understands; produces,BUTTERFLY
item_33,CAT,word,animals,understands; produces,CAT
item_34,COW,word,animals,understands; produces,COW
item_35,DEER,word,animals,understands; produces,DEER
item_36,DOG,word,animals,understands; produces,DOG
item_37,DONKEY,word,animals,understands; produces,DONKEY
item_38,DUCK,word,animals,understands; produces,DUCK
item_39,ELEPHANT,word,animals,understands; produces,ELEPHANT
item_40,FISH,word,animals,understands; produces,FISH
item_41,FOX,word,animals,understands; produces,FOX
item_42,FROG,word,animals,understands; produces,FROG
item_43,GIRAFFE,word,animals,understands; produces,GIRAFFE
item_44,HEN,word,animals,understands; produces,HEN
item_45,HORSE,word,animals,understands; produces,HORSE
item_46,LION,word,animals,understands; produces,LION
item_47,MONKEY,word,animals,understands; produces,MONKEY
item_48,MOUSE,word,animals,understands; produces,MOUSE
item_49,OWL,word,animals,understands; produces,OWL
item_50,PIG,word,animals,understands; produces,PIG
item_51,ROOSTER,word,animals,understands; produces,ROOSTER
item_52,SHEEP,word,animals,understands; produces,SHEEP
item_53,SKUNK,word,animals,understands; produces,SKUNK
item_54,SNAKE,word,animals,understands; produces,SNAKE
item_55,SPIDER,word,animals,understands; produces,SPIDER
item_56,SQUIRREL,word,animals,understands; produces,SQUIRREL
item_57,TIGER,word,animals,understands; produces,TIGER
item_58,TURKEY,word,animals,understands; produces,TURKEY
item_59,TURTLE,word,animals,understands; produces,TURTLE
item_60,WOLF,word,animals,understands; produces,WOLF
item_61,ZEBRA,word,animals,understands; produces,ZEBRA
item_62,BELT,word,clothing,understands; produces,BELT
item_63,BIB,word,clothing,understands; produces,BIB
item_64,BOOT,word,clothing,understands; produces,BOOT
item_65,BUTTON,word,clothing,understands; produces,BUTTON
item_66,COAT_JACKET,word,clothing,understands; produces,COAT/JACKET
item_67,DIAPER,word,clothing,understands; produces,DIAPER
item_68,DRESS_CLOTHES,word,clothing,understands; produces,DRESS/CLOTHES
item_69,EARRING,word,clothing,understands; produces,EARRING
item_70,GLASSES,word,clothing,understands; produces,GLASSES
item_71,GLOVES,word,clothing,understands; produces,GLOVES
item_72,HAT,word,clothing,understands; produces,HAT
item_73,HEARING_AID,word,clothing,understands; produces,HEARING AID
item_74,NECKLACE,word,clothing,understands; produces,NECKLACE
item_75,PAJAMAS,word,clothing,understands; produces,PAJAMAS
item_76,PANTS,word,clothing,understands; produces,PANTS
item_77,SANDAL,word,clothing,understands; produces,SANDAL
item_78,SCARF,word,clothing,understands; produces,SCARF
item_79,SHIRT,word,clothing,understands; produces,SHIRT
item_80,SHOE,word,clothing,understands; produces,SHOE
item_81,SNOWSUIT,word,clothing,understands; produces,SNOWSUIT
item_82,SOCK,word,clothing,understands; produces,SOCK
item_83,SWEATER,word,clothing,understands; produces,SWEATER
item_84,SWIMSUIT,word,clothing,understands; produces,SWIMSUIT
item_85,UNDERPANTS,word,clothing,understands; produces,UNDERPANTS
item_86,WRISTWATCH,word,clothing,understands; produces,WRISTWATCH
item_87,ZIPPER,word,clothing,understands; produces,ZIPPER
item_88,AFTER,word,time_words,understands; produces,AFTER
item_89,BEFORE,word,time_words,understands; produces,BEFORE
item_90,DAY,word,time_words,understands; produces,DAY
item_91,LATER,word,time_words,understands; produces,LATER
item_92,MORNING,word,time_words,understands; produces,MORNING
item_93,NIGHT,word,time_words,understands; produces,NIGHT
item_94,NOT_YET,word,time_words,understands; produces,NOT-YET
item_95,NOW,word,time_words,understands; produces,NOW
item_96,SOON,word,time_words,understands; produces,SOON
item_97,TIME,word,time_words,understands; produces,TIME
item_98,TODAY,word,time_words,understands; produces,TODAY
item_99,TOMORROW,word,time_words,understands; produces,TOMORROW
item_100,TONIGHT,word,time_words,understands; produces,TONIGHT
item_101,YESTERDAY,word,time_words,understands; produces,YESTERDAY
item_102,AWAY,word,action_words,understands; produces,AWAY
item_103,BITE,word,action_words,understands; produces,BITE
item_104,BLOW,word,action_words,understands; produces,BLOW
item_105,BREAK,word,action_words,understands; produces,BREAK
item_106,BRING_CARRY,word,action_words,understands; produces,BRING/CARRY
item_107,BUILD,word,action_words,understands; produces,BUILD
item_108,BUY,word,action_words,understands; produces,BUY
item_109,CATCH,word,action_words,understands; produces,CATCH
item_110,CHASE,word,action_words,understands; produces,CHASE
item_111,CHAT,word,action_words,understands; produces,CHAT
item_112,CLAP,word,action_words,understands; produces,CLAP
item_113,CLEAN,word,action_words,understands; produces,CLEAN
item_114,CLIMB,word,action_words,understands; produces,CLIMB
item_115,CLOSE,word,action_words,understands; produces,CLOSE
item_116,COOK,word,action_words,understands; produces,COOK
item_117,CRY,word,action_words,understands; produces,CRY
item_118,CUT,word,action_words,understands; produces,CUT
item_119,DANCE,word,action_words,understands; produces,DANCE
item_120,DRAW,word,action_words,understands; produces,DRAW
item_121,DRINK,word,action_words,understands; produces,DRINK
item_122,DROP,word,action_words,understands; produces,DROP
item_123,EAT,word,action_words,understands; produces,EAT
item_124,ENTER,word,action_words,understands; produces,ENTER
item_125,FALL,word,action_words,understands; produces,FALL
item_126,FEED,word,action_words,understands; produces,FEED
item_127,FIND,word,action_words,understands; produces,FIND
item_128,FINISH,word,action_words,understands; produces,FINISH
item_129,FIX,word,action_words,understands; produces,FIX
item_130,GET_TAKE,word,action_words,understands; produces,GET/TAKE
item_131,GET_A_SHOT,word,action_words,understands; produces,GET-A-SHOT
item_132,GIVE,word,action_words,understands; produces,GIVE
item_133,GO,word,action_words,understands; produces,GO
item_134,HAVE,word,action_words,understands; produces,HAVE
item_135,HEAR,word,action_words,understands; produces,HEAR
item_136,HELP,word,action_words,understands; produces,HELP
item_137,HIDE,word,action_words,understands; produces,HIDE
item_138,HIT,word,action_words,understands; produces,HIT
item_139,HOLD,word,action_words,understands; produces,HOLD
item_140,HUG,word,action_words,understands; produces,HUG
item_141,HURRY,word,action_words,understands; produces,HURRY
item_142,JUMP,word,action_words,understands; produces,JUMP
item_143,KICK,word,action_words,understands; produces,KICK
item_144,KISS,word,action_words,understands; produces,KISS
item_145,KNOCK,word,action_words,understands; produces,KNOCK
item_146,LEARN,word,action_words,understands; produces,LEARN
item_147,LICK,word,action_words,understands; produces,LICK
item_148,LIKE,word,action_words,understands; produces,LIKE
item_149,LOOK,word,action_words,understands; produces,LOOK
item_150,LOVE,word,action_words,understands; produces,LOVE
item_151,MAKE,word,action_words,understands; produces,MAKE
item_152,NEED,word,action_words,understands; produces,NEED
item_153,OPEN,word,action_words,understands; produces,OPEN
item_154,PAINT,word,action_words,understands; produces,PAINT
item_155,PICK_CHOOSE,word,action_words,understands; produces,PICK/CHOOSE
item_156,PLAY,word,action_words,understands; produces,PLAY
item_157,POUR,word,action_words,understands; produces,POUR
item_158,PULL,word,action_words,understands; produces,PULL
