itemID,item,type,category,choices,definition,gloss
item_1,becareful,phrases,,understands; produces,be careful,be careful
item_2,bringme,phrases,,understands; produces,bring me,bring me
item_3,changenappy,phrases,,understands; produces,change nappy,change nappy
item_4,comehere,phrases,,understands; produces,come here,come here
item_5,daddymummyhome,phrases,,understands; produces,daddy/mummy home,daddy/mummy home
item_6,donttouch,phrases,,understands; produces,donttouch,donttouch
item_7,finish,phrases,,understands; produces,finish,finish
item_8,getup,phrases,,understands; produces,get up,get up
item_9,givetomummy,phrases,,understands; produces,give me hug,give me hug
item_10,givemehug,phrases,,understands; produces,give me kiss,give me kiss
item_11,givemekiss,phrases,,understands; produces,give to mummy,give to mummy
item_12,goodgirlboy,phrases,,understands; produces,good girl/boy,good girl/boy
item_13,openyourmouth,phrases,,understands; produces,open your mouth,open your mouth
item_14,sitdown,phrases,,understands; produces,sit down,sit down
item_15,spititout,phrases,,understands; produces,spit it out,spit it out
item_16,timegobyebye,phrases,,understands; produces,throw ball,throw ball
item_17,throwball,phrases,,understands; produces,time go bye bye,time go bye bye
item_18,youhungry,phrases,,understands; produces,you hungry,you hungry
item_19,youtiredsleepy,phrases,,understands; produces,you tired/sleepy,you tired/sleepy
item_20,youwantgo,phrases,,understands; produces,you want go,you want go
item_21,youwantmore,phrases,,understands; produces,you want more,you want more
item_22,crocodile,word,animals,understands; produces,crocodile,crocodile
item_23,antbug,word,animals,understands; produces,ant/bug,ant/bug
item_24,bear,word,animals,understands; produces,bear,bear
item_25,bee,word,animals,understands; produces,bee,bee
item_26,birdchicken,word,animals,understands; produces,bird/chicken,bird/chicken
item_27,bunnyrabbit,word,animals,understands; produces,bunny/rabbit,bunny/rabbit
item_28,butterfly,word,animals,understands; produces,butterfly,butterfly
item_29,cat,word,animals,understands; produces,cat,cat
item_30,cow,word,animals,understands; produces,cow,cow
item_31,deer,word,animals,understands; produces,deer,deer
item_32,dog,word,animals,understands; produces,dog,dog
item_33,donkey,word,animals,understands; produces,donkey,donkey
item_34,duck,word,animals,understands; produces,duck,duck
item_35,elephant,word,animals,understands; produces,elephant,elephant
item_36,fish,word,animals,understands; produces,fish,fish
item_37,frog,word,animals,understands; produces,frog,frog
item_38,giraffe,word,animals,understands; produces,giraffe,giraffe
item_39,hen,word,animals,understands; produces,hen,hen
item_40,horse,word,animals,understands; produces,horse,horse
item_41,lion,word,animals,understands; produces,lion,lion
item_42,monkey,word,animals,understands; produces,monkey,monkey
item_43,mouse,word,animals,understands; produces,mouse,mouse
item_44,owl,word,animals,understands; produces,owl,owl
item_45,pig,word,animals,understands; produces,pig,pig
item_46,rooster,word,animals,understands; produces,rooster,rooster
item_47,sheep,word,animals,understands; produces,sheep,sheep
item_48,snake,word,animals,understands; produces,snake,snake
item_49,squirrel,word,animals,understands; produces,squirrel,squirrel
item_50,tiger,word,animals,understands; produces,tiger,tiger
item_51,turkey,word,animals,understands; produces,turkey,turkey
item_52,turtle,word,animals,understands; produces,turtle,turtle
item_53,wolf,word,animals,understands; produces,wolf,wolf
item_54,belt,word,clothing,understands; produces,belt,belt
item_55,bib,word,clothing,understands; produces,bib,bib
item_56,boot,word,clothing,understands; produces,boot,boot
item_57,button,word,clothing,understands; produces,button,button
item_58,clothesdress,word,clothing,understands; produces,clothes/dress,clothes/dress
item_59,coatjacket,word,clothing,understands; produces,coat/jacket,coat/jacket
item_60,nappy,word,clothing,understands; produces,nappy,nappy
item_61,earring,word,clothing,understands; produces,earring,earring
item_62,gloves,word,clothing,understands; produces,gloves,gloves
item_63,hat,word,clothing,understands; produces,hat,hat
item_64,hearingaid,word,clothing,understands; produces,hearing aid,hearing aid
item_65,necklace,word,clothing,understands; produces,necklace,necklace
item_66,pyjamas,word,clothing,understands; produces,pyjamas,pyjamas
item_67,trousers,word,clothing,understands; produces,trousers,trousers
item_68,scarf,word,clothing,understands; produces,scarf,scarf
item_69,shirt,word,clothing,understands; produces,shirt,shirt
item_70,shoe,word,clothing,understands; produces,shoe,shoe
item_71,shorts,word,clothing,understands; produces,shorts,shorts
item_72,snowsuit,word,clothing,understands; produces,snowsuit,snowsuit
item_73,sock,word,clothing,understands; produces,sock,sock
item_74,cardiganjumper,word,clothing,understands; produces,cardigan/jumper,cardigan/jumper
item_75,tights,word,clothing,understands; produces,tights,tights
item_76,knickerspants,word,clothing,understands; produces,knickers/pants,knickers/pants
item_77,zip,word,clothing,understands; produces,zip,zip
item_78,plaster,word,household,understands; produces,plaster,plaster
item_79,basket,word,household,understands; produces,basket,basket
item_80,blanket,word,household,understands; produces,blanket,blanket
item_81,bottle,word,household,understands; produces,bottle,bottle
item_82,box,word,household,understands; produces,box,box
item_83,bowl,word,household,understands; produces,bowl,bowl
item_84,broom,word,household,understands; produces,broom,broom
item_85,brush,word,household,understands; produces,brush,brush
item_86,camera,word,household,understands; produces,camera,camera
item_87,comb,word,household,understands; produces,comb,comb
item_88,fork,word,household,understands; produces,fork,fork
item_89,glass,word,household,understands; produces,glass,glass
item_90,glasses,word,household,understands; produces,glasses,glasses
item_91,hammer,word,household,understands; produces,hammer,hammer
item_92,jar,word,household,understands; produces,jar,jar
item_93,keys,word,household,understands; produces,keys,keys
item_94,knife,word,household,understands; produces,knife,knife
item_95,light,word,household,understands; produces,light,light
item_96,medicine,word,household,understands; produces,medicine,medicine
item_97,mirror,word,household,understands; produces,mirror,mirror
item_98,money,word,household,understands; produces,money,money
item_99,mop,word,household,understands; produces,mop,mop
item_100,napkin,word,household,understands; produces,napkin,napkin
item_101,paper,word,household,understands; produces,paper,paper
item_102,pennycoin,word,household,understands; produces,penny/coin,penny/coin
item_103,picture,word,household,understands; produces,picture,picture
item_104,plant,word,household,understands; produces,plant,plant
item_105,plate,word,household,understands; produces,plate,plate
item_106,purse,word,household,understands; produces,purse,purse
item_107,radio,word,household,understands; produces,radio,radio
item_108,scissors,word,household,understands; produces,scissors,scissors
item_109,soap,word,household,understands; produces,soap,soap
item_110,spoon,word,household,understands; produces,spoon,spoon
item_111,tape,word,household,understands; produces,tape,tape
item_112,telephone,word,household,understands; produces,telephone,telephone
item_113,tissue,word,household,understands; produces,tissue,tissue
item_114,toothbrush,word,household,understands; produces,toothbrush,toothbrush
item_115,towel,word,household,understands; produces,towel,towel
item_116,rubbish,word,household,understands; produces,rubbish,rubbish
item_117,vaccuumhoover,word,household,understands; produces,vaccuum/hoover,vaccuum/hoover
item_118,wristwatch,word,household,understands; produces,wristwatch,wristwatch
item_119,aunt,word,people,understands; produces,aunt,aunt
item_120,baby,word,people,understands; produces,baby,baby
item_121,babysitter,word,people,understands; produces,babysitter,babysitter
item_122,babysittername,word,people,understands; produces,babysitter name,babysitter name
item_123,boy,word,people,understands; produces,boy,boy
item_124,brother,word,people,understands; produces,brother,brother
item_125,childownname,word,people,understands; produces,child/kid,child/kid
