"itemID","item","type","category","choices","definition","gloss","complexity_category"
"item_1","S1BOM","word","sounds","produces","Bom Bang (撞擊聲)",,
"item_2","S1WEI","word","sounds","produces","喂?/ 喂!",,
"item_3","S1AIYOU","word","sounds","produces","哎吔",,
"item_4","S1YUMMY","word","sounds","produces","Mem Mem (好味)",,
"item_5","S1CARC","word","sounds","produces","𠼭𠼭 (車聲)",,
"item_6","S1BIBOO","word","sounds","produces","Bi Boo (救傷車聲)",,
"item_7","S1BANGC","word","sounds","produces","嘭嘭 (槍聲)",,
"item_8","S1DOGC","word","sounds","produces","Wou Wou (狗吠聲)",,
"item_9","S1CAT","word","sounds","produces","喵 (貓叫聲)",,
"item_10","S1SHEEP","word","sounds","produces","咩咩 (羊叫聲)",,
"item_11","S1DUCKC","word","sounds","produces","呷呷 (鴨叫聲)",,
"item_12","S1BIRDC","word","sounds","produces","吱吱 (雀叫聲)",,
"item_13","S1CHICKC","word","sounds","produces","咯咯 (雞叫聲)",,
"item_14","P2MOMMY","word","people","produces","媽媽/媽咪",,
"item_15","P2DADDY","word","people","produces","爸爸/爹哋",,
"item_16","P2POHPOH","word","people","produces","婆婆",,
"item_17","P2MAAMAA","word","people","produces","嫲嫲",,
"item_18","P2GUNG","word","people","produces","公公",,
"item_19","P2JEJE","word","people","produces","爺爺",,
"item_20","P2ELDSIS","word","people","produces","姐姐",,
"item_21","P2YOUSIS","word","people","produces","妹妹",,
"item_22","P2ELDBRO","word","people","produces","哥哥",,
"item_23","P2YOUBRO","word","people","produces","弟弟",,
"item_24","P2JIJI","word","people","produces","姨姨/Auntie",,
"item_25","P2BAAK","word","people","produces","伯伯",,
"item_26","P2SUKSUK","word","people","produces","叔叔/Uncle",,
"item_27","P2SAMSAM","word","people","produces","嬸嬸",,
"item_28","P2GUMAA","word","people","produces","姑媽",,
"item_29","P2GUZE","word","people","produces","姑姐",,
"item_30","P2GUZOEN","word","people","produces","姑丈",,
"item_31","P2KAUFU","word","people","produces","舅父",,
"item_32","P2KAUMOU","word","people","produces","舅母",,
"item_33","P2JIMAA","word","people","produces","姨媽",,
"item_34","P2JIZOEN","word","people","produces","姨丈",,
"item_35","P2NAME","word","people","produces","自己的名字",,
"item_36","P2BB","word","people","produces","BB",,
"item_37","P2SERNAM","word","people","produces","工人的名字",,
"item_38","P2FRNAM","word","people","produces","小朋友的名字",,
"item_39","P2KID","word","people","produces","細路仔/小朋友",,
"item_40","P2BOYC","word","people","produces","男(仔)",,
"item_41","P2GIRLC","word","people","produces","女(仔)",,
"item_42","P2DRIVER","word","people","produces","司機",,
"item_43","P2DOCTOR","word","people","produces","醫生",,
"item_44","P2NURSE","word","people","produces","謢士/姑娘",,
"item_45","P2TEACHE","word","people","produces","老師/先生",,
"item_46","P2POLICC","word","people","produces","警察/差人",,
"item_47","P2FIREMA","word","people","produces","消防員",,
"item_48","P2TELETB","word","people","produces","得得B",,
"item_49","P2HKITTY","word","people","produces","Hello Kitty",,
