type,value,data_value
sex,M,male
sex,F,female
mom_ed,primary,1
mom_ed,some secondary,2
mom_ed,some secondary,3
mom_ed,secondary,4
mom_ed,secondary,5
mom_ed,secondary,6
mom_ed,some college,7
mom_ed,some college,8
mom_ed,some college,9
mom_ed,college,10
mom_ed,some graduate,11
mom_ed,graduate,12
mom_ed,none,998
mom_ed,none,999
mom_ed,none,nan
mom_ed,none,
word,produces,said
how_use_words,yes,yes
how_use_words,no,no
word_endings,not yet,not yet
word_endings,sometimes,sometimes
word_endings,often,often
word_forms,produces,said
word_endings,produces,said
combine,not yet,not yet
combine,sometimes,sometimes
combine,often,often
complexity,simple,1
complexity,complex,2
