field,column,group,type
study_id,Child_id,child,study_id
sex,gender,child,sex
data_age,age,admin,data_age
item_1,aiai,item,word
item_3,bää,item,word
item_5,hau,item,word
item_7,kvaak,item,word
item_9,murrr,item,word
item_11,ohhoh,item,word
item_13,tsuk,item,word
item_2,ammuu,item,word
item_4,drnn,item,word
item_6,cock_a_doodle_doo,item,word
item_8,miauu,item,word
item_10,yum,item,word
item_12,shh,item,word
item_14,bee,item,word
item_16,ape,item,word
item_18,horse,item,word
item_20,moose,item,word
item_22,spider,item,word
item_24,bear,item,word
item_26,giraffe,item,word
item_28,dog,item,word
item_30,snake,item,word
item_32,cow,item,word
item_34,ladybird,item,word
item_36,worm,item,word
item_38,elephant,item,word
item_40,butterfly,item,word
item_42,pig,item,word
item_44,owl,item,word
item_46,hedgehog,item,word
item_48,tiger,item,word
item_15,duck,item,word
item_17,animal,item,word
item_19,mouse,item,word
item_21,mosquito,item,word
item_23,fish,item,word
item_25,fox,item,word
item_27,cat,item,word
item_29,fly,item,word
item_31,sheep,item,word
item_33,lion,item,word
item_35,bird,item,word
item_37,ant,item,word
item_39,squirrel,item,word
item_41,penguin,item,word
item_43,bunny,item,word
item_45,frog,item,word
item_47,wolf,item,word
item_49,baby_chicken,item,word
item_50,car,item,word
item_52,train,item,word
item_54,ship,item,word
item_56,moped,item,word
item_58,pushchair,item,word
item_51,bus,item,word
item_53,truck,item,word
item_55,aeroplane,item,word
item_57,bicycle,item,word
item_59,tractor,item,word
item_60,book,item,word
item_62,spade,item,word
item_64,doll,item,word
item_66,ball,item,word
item_61,pencil,item,word
item_63,teddybear,item,word
item_65,brick,item,word
item_67,bucket,item,word
item_68,orange,item,word
item_70,pea,item,word
item_72,cheese,item,word
item_74,coffee,item,word
item_76,fish_x,item,word
item_78,egg,item,word
item_80,cookie,item,word
item_82,bread,item,word
item_84,milk,item,word
item_86,sausage,item,word
item_88,juice,item,word
item_90,potato,item,word
item_92,porridge,item,word
item_94,raisin,item,word
item_96,gruel,item,word
item_98,nordic_kind_of_sour_milk,item,word
item_69,banana,item,word
item_71,youghurt,item,word
item_73,icecream,item,word
item_75,cake,item,word
item_77,chicken,item,word
item_79,candy,item,word
item_81,cucumber,item,word
item_83,meat,item,word
item_85,macaroni,item,word
item_87,strawberry,item,word
item_89,apple,item,word
item_91,carrot,item,word
item_93,food,item,word
item_95,tomato,item,word
item_97,water,item,word
item_99,butter,item,word
item_100,hat,item,word
item_102,scarf,item,word
item_104,mittens,item,word
item_106,button,item,word
item_108,blouse,item,word
item_110,rubberboots,item,word
item_112,pantyhose,item,word
item_114,nappy,item,word
item_116,pullover,item,word
item_101,pants,item,word
item_103,shoe,item,word
item_105,dress,item,word
item_107,shirt,item,word
item_109,bib,item,word
item_111,sock,item,word
item_113,jacket,item,word
item_115,zipper,item,word
item_117,pyjamas,item,word
item_118,tooth,item,word
item_120,foot,item,word
item_122,tongue,item,word
item_124,hand,item,word
item_126,nose,item,word
item_128,cheek,item,word
item_130,head,item,word
item_132,finger,item,word
item_134,boob,item,word
item_136,stomach,item,word
item_119,hair,item,word
item_121,face,item,word
item_123,ear,item,word
item_125,bellybutton,item,word
item_127,knee,item,word
item_129,bum,item,word
item_131,eye,item,word
item_133,mouth,item,word
item_135,toe,item,word
item_137,bathtub,item,word
item_139,corridor,item,word
item_141,fridge,item,word
item_143,ceiling,item,word
item_145,kitchen,item,word
item_147,bedroom,item,word
item_149,door,item,word
item_151,stairs,item,word
item_153,table,item,word
item_155,sauna,item,word
item_157,shower,item,word
item_159,TV,item,word
item_161,owen,item,word
item_138,garage,item,word
item_140,window,item,word
item_142,closet,item,word
item_144,rocking_chair,item,word
item_146,floor,item,word
item_148,living_room,item,word
item_150,washing_machine,item,word
item_152,hoover,item,word
item_154,radio,item,word
item_156,sofa,item,word
item_158,bed,item,word
item_160,chair,item,word
item_162,toilet,item,word
item_163,keys,item,word
item_165,toothbrush,item,word
item_167,comb,item,word
item_169,clock,item,word
item_171,cup,item,word
item_173,lamp,item,word
item_175,plate,item,word
item_177,medicine,item,word
item_179,doorbell,item,word
item_181,mirror,item,word
item_183,potty,item,word
item_164,fork,item,word
item_166,brush,item,word
item_168,pot,item,word
item_170,letter,item,word
item_172,box,item,word
item_174,bag,item,word
item_176,spoon,item,word
item_178,carpet,item,word
item_180,paper,item,word
item_182,blanket,item,word
item_184,telephone,item,word
item_185,bottle,item,word
item_187,money,item,word
item_189,rubbish,item,word
item_191,scissors,item,word
item_193,painting,item,word
item_195,cushion,item,word
item_186,towel,item,word
item_188,cream,item,word
item_190,soap,item,word
item_192,eyeglasses,item,word
item_194,pacifier,item,word
item_196,knife,item,word
item_197,sun,item,word
item_199,sandbox,item,word
item_201,shop,item,word
item_203,church,item,word
item_205,home,item,word
item_207,flower,item,word
item_209,slide,item,word
item_211,puddle,item,word
item_213,park,item,word
item_215,day_care_center,item,word
item_217,rain,item,word
item_219,house,item,word
item_198,sand,item,word
item_200,ice,item,word
item_202,swing,item,word
item_204,stone,item,word
item_206,school,item,word
item_208,moon,item,word
item_210,snow,item,word
item_212,yard,item,word
item_214,tree,item,word
item_216,shore,item,word
item_218,sky,item,word
item_220,star,item,word
item_221,human_being,item,word
item_223,child,item,word
item_225,grandmother,item,word
item_227,own_name,item,word
item_229,boy,item,word
item_231,sister,item,word
item_233,aunt,item,word
item_235,brother,item,word
item_222,father,item,word
item_224,man,item,word
item_226,woman,item,word
item_228,grandfather,item,word
item_230,uncle,item,word
item_232,girl,item,word
item_234,baby,item,word
item_236,mother,item,word
item_237,breakfast,item,word
item_239,bye_bye,item,word
item_241,poop,item,word
item_243,yes,item,word
item_245,end,item,word
item_238,no,item,word
item_240,good_night,item,word
item_242,thank_you,item,word
item_244,bath,item,word
item_246,wait,item,word
item_247,please,item,word
item_249,pee,item,word
item_251,hello,item,word
item_253,snack,item,word
item_248,to_hiding_place,item,word
item_250,nap,item,word
item_252,hi,item,word
item_254,don_t,item,word
item_255,drive,item,word
item_257,open,item,word
item_259,fetch,item,word
item_261,throw,item,word
item_263,jump,item,word
item_265,cry,item,word
item_267,run,item,word
item_269,look,item,word
item_271,cook,item,word
item_273,write,item,word
item_275,walk,item,word
item_277,sing,item,word
item_279,bake,item,word
item_281,read,item,word
item_283,fit,item,word
item_285,laugh,item,word
item_287,sleep,item,word
item_289,wash,item,word
item_291,kick,item,word
item_293,blow_x,item,word
item_295,bite,item,word
item_297,take_off,item,word
item_299,splatter,item,word
item_301,clean,item,word
item_303,kiss,item,word
item_305,feed,item,word
item_307,clap,item,word
item_309,push,item,word
item_311,pull,item,word
item_313,wink,item,word
item_256,give,item,word
item_258,help,item,word
item_260,hug,item,word
item_262,shout,item,word
item_264,sit,item,word
item_266,drink,item,word
item_268,fall,item,word
item_270,swing_x,item,word
item_272,climb,item,word
item_274,fix,item,word
item_276,put,item,word
item_278,play,item,word
item_280,stop,item,word
item_282,leave,item,word
item_284,go,item,word
item_286,blow,item,word
item_288,take,item,word
item_290,draw,item,word
item_292,fall_x,item,word
item_294,dress_x,item,word
item_296,roll,item,word
item_298,break,item,word
item_300,get,item,word
item_302,ring,item,word
item_304,eat,item,word
item_306,dance,item,word
item_308,bring,item,word
item_310,crash,item,word
item_312,take_x,item,word
item_314,cough,item,word
item_315,morning,item,word
item_317,later,item,word
item_319,soon,item,word
item_321,today,item,word
item_316,evening,item,word
item_318,now,item,word
item_320,day,item,word
item_322,night,item,word
item_323,fine,item,word
item_325,good,item,word
item_327,big,item,word
item_329,nice,item,word
item_331,hot,item,word
item_333,dirty,item,word
item_335,hungry,item,word
item_337,tiny,item,word
item_339,clean_x,item,word
item_341,broken,item,word
item_343,sharp,item,word
item_345,empty,item,word
item_347,careful,item,word
item_324,bad,item,word
item_326,glad,item,word
item_328,beautiful,item,word
item_330,ill,item,word
item_332,cold,item,word
item_334,wet,item,word
item_336,soft,item,word
item_338,dark,item,word
item_340,red,item,word
item_342,sad,item,word
item_344,naughty,item,word
item_346,old,item,word
item_348,tired,item,word
item_349,to_me,item,word
item_351,I,item,word
item_353,it,item,word
item_355,you,item,word
item_350,mine,item,word
item_352,those,item,word
item_354,yours,item,word
item_356,this,item,word
item_357,who,item,word
item_359,what,item,word
item_361,where,item,word
item_363,what_x,item,word
item_358,why,item,word
item_360,when,item,word
item_362,how,item,word
item_364,down,item,word
item_366,open_x,item,word
item_368,on,item,word
item_370,inside,item,word
item_372,here,item,word
item_374,up,item,word
item_365,below,item,word
item_367,closed,item,word
item_369,there,item,word
item_371,over_there,item,word
item_373,out,item,word
item_375,everybody,item,word
item_377,many,item,word
item_379,other,item,word
item_376,more,item,word
item_378,same,item,word
item_380,few,item,word
