field,column,group,type
study_id,ID,child,study_id
sex,sex,child,sex
data_age,age,admin,data_age
item_1,aiai,item,word
item_2,ammuu,item,word
item_3,bääbää,item,word
item_4,kvaak,item,word
item_5,nam,item,word
item_6,duck,item,word
item_7,moose,item,word
item_8,fish,item,word
item_9,cat,item,word
item_10,bird,item,word
item_11,penguin,item,word
item_12,truck,item,word
item_13,ship,item,word
item_14,balloon,item,word
item_15,gift,item,word
item_16,puzzle,item,word
item_17,cheese,item,word
item_18,icecream,item,word
item_19,chicken,item,word
item_20,sauce,item,word
item_21,cookie,item,word
item_22,bread,item,word
item_23,juice,item,word
item_24,salt,item,word
item_25,hat,item,word
item_26,shoe,item,word
item_27,jacket,item,word
item_28,zipper,item,word
item_29,foot,item,word
item_30,tongue,item,word
item_31,nose,item,word
item_32,bathtub,item,word
item_33,keys,item,word
item_34,pot,item,word
item_35,clock,item,word
item_36,lamp,item,word
item_37,glass,item,word
item_38,plate,item,word
item_39,telephone,item,word
item_40,bottle,item,word
item_41,sauna,item,word
item_42,sofa,item,word
item_43,bed,item,word
item_44,chair,item,word
item_45,sun,item,word
item_46,zoo,item,word
item_47,shop,item,word
item_48,playground,item,word
item_49,yard,item,word
item_50,cloud,item,word
item_51,house,item,word
item_52,father,item,word
item_53,child,item,word
item_54,baby,item,word
item_55,mother,item,word
item_56,no,item,word
item_57,bye,item,word
item_58,goodnight,item,word
item_59,bath,item,word
item_60,snack,item,word
item_61,jump,item,word
item_62,sit,item,word
item_63,drink,item,word
item_64,run,item,word
item_65,look,item,word
item_66,find,item,word
item_67,go,item,word
item_68,take,item,word
item_69,hide,item,word
item_70,pick,item,word
item_71,kick,item,word
item_72,drop,item,word
item_73,bite,item,word
item_74,build,item,word
item_75,slow,item,word
item_76,fine,item,word
item_77,big,item,word
item_78,dirty,item,word
item_79,black,item,word
item_80,naughty,item,word
item_81,careful,item,word
item_82,noisy,item,word
item_83,before,item,word
item_84,tomorrow,item,word
item_85,then,item,word
item_86,again,item,word
item_87,today,item,word
item_88,he_she,item,word
item_89,they,item,word
item_90,their,item,word
item_91,I,item,word
item_92,why,item,word
item_93,open,item,word
item_94,away,item,word
item_95,up,item,word
item_96,few,item,word
item_97,many,item,word
item_98,and,item,word
item_99,because,item,word
item_100,but,item,word
