field,column,group,type
birth_order,place_in_fam,child,birth_order
data_age,,admin,data_age
date_of_birth,birth_date,child,date_of_birth
date_of_test,0ues_date,admin,date_of_test
ethnicity,,child,ethnicity
mom_ed,mo_edu,child,mom_ed
sex,gend,child,sex
study_id,n,child,study_id
item_1,sign1,item,first_signs
item_2,sign2,item,first_signs
item_3,sign3,item,first_signs
item_4,sent1,item,phrases
item_5,sent2,item,phrases
item_6,sent3,item,phrases
item_7,sent4,item,phrases
item_8,sent5,item,phrases
item_9,sent6,item,phrases
item_10,sent7,item,phrases
item_11,sent8,item,phrases
item_12,sent9,item,phrases
item_13,sent10,item,phrases
item_14,sent11,item,phrases
item_15,sent12,item,phrases
item_16,sent13,item,phrases
item_17,sent14,item,phrases
item_18,sent15,item,phrases
item_19,sent16,item,phrases
item_20,sent17,item,phrases
item_21,sent18,item,phrases
item_22,sent19,item,phrases
item_23,sent20,item,phrases
item_24,sent21,item,phrases
item_25,sent22,item,phrases
item_26,sent23,item,phrases
item_27,sent24,item,phrases
item_28,sent25,item,phrases
item_29,sent26,item,phrases
item_30,voice1,item,word
item_31,voice2,item,word
item_32,voice3,item,word
item_33,voice4,item,word
item_34,voice5,item,word
item_35,voice6,item,word
item_36,voice7,item,word
item_37,voice8,item,word
item_38,voice9,item,word
item_39,voice10,item,word
item_40,voice11,item,word
item_41,voice12,item,word
item_42,voice13,item,word
item_43,voice14,item,word
item_44,voice15,item,word
item_45,anim1,item,word
item_46,anim2,item,word
item_47,anim3,item,word
item_48,anim4,item,word
item_49,anim5,item,word
item_50,anim6,item,word
item_51,anim7,item,word
item_52,anim8,item,word
item_53,anim9,item,word
item_54,anim10,item,word
item_55,anim11,item,word
item_56,anim12,item,word
item_57,anim13,item,word
item_58,anim14,item,word
item_59,anim15,item,word
item_60,anim16,item,word
item_61,anim17,item,word
item_62,anim18,item,word
item_63,anim19,item,word
item_64,anim20,item,word
item_65,anim21,item,word
item_66,anim22,item,word
item_67,anim23,item,word
item_68,anim24,item,word
item_69,anim25,item,word
item_70,anim26,item,word
item_71,anim27,item,word
item_72,anim28,item,word
item_73,anim29,item,word
item_74,anim30,item,word
item_75,anim31,item,word
item_76,anim32,item,word
item_77,anim33,item,word
item_78,anim34,item,word
item_79,anim35,item,word
item_80,anim36,item,word
item_81,anim37,item,word
item_82,anim38,item,word
item_83,anim39,item,word
item_84,anim40,item,word
item_85,tans1,item,word
item_86,tans2,item,word
item_87,tans3,item,word
item_88,tans4,item,word
item_89,tans5,item,word
item_90,tans6,item,word
item_91,tans7,item,word
item_92,tans8,item,word
item_93,tans9,item,word
item_94,tans10,item,word
item_95,tans11,item,word
item_96,tans12,item,word
item_97,toy1,item,word
item_98,toy2,item,word
item_99,toy3,item,word
item_100,toy4,item,word
item_101,toy5,item,word
item_102,toy6,item,word
item_103,toy7,item,word
item_104,toy8,item,word
item_105,toy9,item,word
item_106,toy10,item,word
item_107,toy11,item,word
item_108,toy12,item,word
item_109,toy13,item,word
item_110,food1,item,word
item_111,food2,item,word
item_112,food3,item,word
item_113,food4,item,word
item_114,food5,item,word
item_115,food6,item,word
item_116,food7,item,word
item_117,food8,item,word
item_118,food9,item,word
item_119,food10,item,word
item_120,food11,item,word
item_121,food12,item,word
item_122,food13,item,word
item_123,food14,item,word
item_124,food15,item,word
item_125,food16,item,word
item_126,food17,item,word
item_127,food18,item,word
item_128,food19,item,word
item_129,food20,item,word
item_130,food21,item,word
item_131,food22,item,word
item_132,food23,item,word
item_133,food24,item,word
item_134,food25,item,word
item_135,food26,item,word
item_136,food27,item,word
item_137,food28,item,word
item_138,food29,item,word
item_139,food30,item,word
item_140,food31,item,word
item_141,food32,item,word
item_142,food33,item,word
item_143,food34,item,word
item_144,food35,item,word
item_145,food36,item,word
item_146,food37,item,word
item_147,food38,item,word
item_148,food39,item,word
item_149,food40,item,word
item_150,food41,item,word
item_151,food42,item,word
item_152,food43,item,word
item_153,food44,item,word
item_154,food45,item,word
item_155,food46,item,word
item_156,food47,item,word
item_157,cloths1,item,word
item_158,cloths2,item,word
item_159,cloths3,item,word
item_160,cloths4,item,word
item_161,cloths5,item,word
item_162,cloths6,item,word
item_163,cloths7,item,word
item_164,cloths8,item,word
item_165,cloths9,item,word
item_166,cloths10,item,word
item_167,cloths11,item,word
item_168,cloths12,item,word
item_169,cloths13,item,word
item_170,cloths14,item,word
item_171,cloths15,item,word
item_172,cloths16,item,word
item_173,cloths17,item,word
item_174,cloths18,item,word
item_175,cloths19,item,word
item_176,cloths20,item,word
item_177,cloths21,item,word
item_178,cloths22,item,word
item_179,body1,item,word
item_180,body2,item,word
item_181,body3,item,word
item_182,body4,item,word
item_183,body5,item,word
item_184,body6,item,word
item_185,body7,item,word
item_186,body8,item,word
item_187,body9,item,word
item_188,body10,item,word
item_189,body11,item,word
item_190,body12,item,word
item_191,body13,item,word
item_192,body14,item,word
item_193,body15,item,word
item_194,body16,item,word
item_195,body17,item,word
item_196,body18,item,word
item_197,body19,item,word
item_198,body20,item,word
item_199,rooms1,item,word
item_200,rooms2,item,word
