itemID,item,type,category,choices,definition,complexity,gloss,uni_lemma
item_1,a14she,word,sounds,understands; produces,Baa baa,NA,Sheep,baa baa
item_2,a1bir,word,sounds,understands; produces,chri chri chri,NA,bird,NA
item_3,a9don,word,sounds,understands; produces,heoo heoo,NA,Donkey,hee haw
item_4,a8dog,word,sounds,understands; produces,huo huo,NA,dog,woof woof
item_5,a11mon,word,sounds,understands; produces,Kima,NA,monkey,monkey
item_6,a5coc,word,sounds,understands; produces,Kukuriukuu,NA,Cockerel,cockadoodledoo
item_7,a4chi,word,sounds,understands; produces,kru kru kru,NA,Chicken calling chick,NA
item_8,a7cro,word,sounds,understands; produces,Kunguru,NA,Crow,crow
item_9,a12ouc,word,sounds,understands; produces,Umia,NA,Ouch,ouch
item_10,a10goa,word,sounds,understands; produces,mmee mmee,NA,Goat,baa baa
item_11,a3cat,word,sounds,understands; produces,miau miau,NA,Cat,meow
item_12,a6cow,word,sounds,understands; produces,mooh mooh,NA,Cow,moo
item_13,a13pho,word,sounds,understands; produces,Simu,NA,Phone,NA
item_14,a15swe,word,sounds,understands; produces,Tamu tamu,NA,Sweetness,yum yum
item_15,a2car,word,sounds,understands; produces,Gari,NA,Car,vroom
item_16,b10duck,word,animals,understands; produces,Bata,NA,Duck,duck
item_17,b12frog,word,animals,understands; produces,Chura,NA,Frog,frog
item_18,b14hen,word,animals,understands; produces,Koo,NA,Hen,hen
item_19,b5chic,word,animals,understands; produces,Kuku,NA,Chicken,chicken (animal)
item_20,b7crow,word,animals,understands; produces,Kunguru/Kurabu,NA,Crow,crow
item_21,b8dog,word,animals,understands; produces,Mbwa/Jibwa,NA,Dog,dog
item_22,b13goat,word,animals,understands; produces,Mbuzi/Mee,NA,Goat,goat
item_23,b15inse,word,animals,understands; produces,Mdudu,NA,Insect,bug
item_24,b1anim,word,animals,understands; produces,Mnyama,NA,Animal,animal
item_25,b6cow,word,animals,understands; produces,Ng'ombe/Boo,NA,Cow,cow
item_26,b4cat,word,animals,understands; produces,Paka/Nyau,NA,Cat,cat
item_27,b17rat,word,animals,understands; produces,Panya,NA,Rat/Mouse,mouse
item_28,b11fish,word,animals,understands; produces,Samaki,NA,Fish,fish (animal)
item_29,b3bird,word,animals,understands; produces,Nyuni/ndege/Njiwa,NA,Bird,bird
item_30,b16monk,word,animals,understands; produces,Nyani/kima/tumbili,NA,Monkey,monkey
item_31,c2bicy,word,vehicles,understands; produces,Baiskeli,NA,Bicycle,bicycle
item_32,c3car,word,vehicles,understands; produces,Gari/Motokaa,NA,Car,car
item_33,c5trac,word,vehicles,understands; produces,Tingatinga,NA,Tractor,tractor
item_34,c1aero,word,vehicles,understands; produces,Ndege/eropleni,NA,Aeroplane,airplane
item_35,c4moto,word,vehicles,understands; produces,Pikipiki,NA,Motorcycle,motorcycle
item_36,d4chal,word,toys,understands; produces,Chaki/Makaa,NA,Chalk,chalk
item_37,d5doll,word,toys,understands; produces,Kinyago/doli,NA,Doll,doll
item_38,d10pen,word,toys,understands; produces,Kalamu,NA,Pen,pen
item_39,d2ball,word,toys,understands; produces,Kibofu,NA,Balloon,balloon
item_40,d3book,word,toys,understands; produces,Kitabu,NA,Book,book
item_41,d7game,word,toys,understands; produces,Mchezo,NA,Game/Play,game
item_42,d1ball,word,toys,understands; produces,Mpira/Boli,NA,Ball,ball
item_43,d6foam,word,toys,understands; produces,Povu,NA,Foam/bubbles,bubbles
item_44,d9mud,word,toys,understands; produces,Udongo,NA,Mud/Clay,sand
item_45,d11pres,word,toys,understands; produces,Zawadi,NA,Present,present
item_46,e20ice,word,food_drink,understands; produces,Barafu,NA,Ice,ice
item_47,e3bisc,word,food_drink,understands; produces,Biskuti,NA,Biscuit,cookie
item_48,e36tea,word,food_drink,understands; produces,Chai,NA,Tea,tea
item_49,e17food,word,food_drink,understands; produces,Chakula,NA,Food,food
item_50,e10chap,word,food_drink,understands; produces,Chapati,NA,Chapati,tortilla
item_51,e25oran,word,food_drink,understands; produces,Maji ya machungwa/juisi,NA,orange juice,orange juice
item_52,e1bana,word,food_drink,understands; produces,Ndizi,NA,Bananas,banana
item_53,e6bun,word,food_drink,understands; produces,Kaimati,NA,Bun1,bun
item_54,e8carr,word,food_drink,understands; produces,Karoti,NA,Carrot,carrot
item_55,e7cake,word,food_drink,understands; produces,Keki,NA,Cake,cake
item_56,e28pota,word,food_drink,understands; produces,Viazi,NA,Potato,potato
item_57,e11chic,word,food_drink,understands; produces,Kuku,NA,ChickenF,chicken (food)
item_58,e31sard,word,food_drink,understands; produces,Omena/Kumbu,NA,Sardine,sardine
item_59,e40wate,word,food_drink,understands; produces,Maji,NA,WaterF,water (beverage)
item_60,e26oran,word,food_drink,understands; produces,Chungwa,NA,Orange,orange (food)
item_61,e22mang,word,food_drink,understands; produces,Embe,NA,Mango,mango
item_62,e14dump,word,food_drink,understands; produces,maandazi/mahamri,NA,Dumpling,bun
item_63,e2bean,word,food_drink,understands; produces,Maharagwe,NA,Beans,beans
item_64,e24milk,word,food_drink,understands; produces,Maziwa,NA,Milk,milk
item_65,e9cass,word,food_drink,understands; produces,Muhogo,NA,Cassava,cassava
item_66,e29rice,word,food_drink,understands; produces,Wali/Mchele,NA,Rice,rice
item_67,e4brea,word,food_drink,understands; produces,Mkate,NA,Bread,bread
item_68,e30salt,word,food_drink,understands; produces,Omena/Kumbu,NA,NA,sardine
item_69,e27porr,word,food_drink,understands; produces,Viazi,NA,Potato,potato
item_70,e13coco,word,food_drink,understands; produces,Nazi,NA,Coconut,coconut
item_71,e23meat,word,food_drink,understands; produces,Nyama,NA,Meat,meat
item_72,e39toma,word,food_drink,understands; produces,nyanya/Tomato,NA,Tomatoes,tomato
item_73,e18grou,word,food_drink,understands; produces,Njugu/Karanga,NA,Groundnuts,peanut
item_74,e33some,word,food_drink,understands; produces,Supu/Mchuzi,NA,Soup,soup
item_75,e35swee,word,food_drink,understands; produces,Peremende,NA,Sweets,sweets
item_76,e5bubb,word,food_drink,understands; produces,BigG/Ballgum,NA,Bubblegum,gum
item_77,e16fish,word,food_drink,understands; produces,Samaki,NA,FishF,fish (food)
item_78,e32soda,word,food_drink,understands; produces,Tamu,NA,Something sweet,yum yum
item_79,e21kale,word,food_drink,understands; produces,Sukuma,NA,Kale,push
item_80,e34soup,word,food_drink,understands; produces,Supu/Mchuzi,NA,Soup,soup
item_81,e38toas,word,food_drink,understands; produces,nyanya/Tomato,NA,Tomatoes,tomato
