itemID,item,type,category,choices,uni_lemma,definition,gloss,complexity_category
item_1,a01_01,word,animals,produces,,,dog,
item_2,a01_02,word,animals,produces,,,cat,
item_3,a01_03,word,animals,produces,,,fish,
item_4,a01_04,word,animals,produces,,,bird,
item_5,a01_05,word,animals,produces,,,duck,
item_6,a01_06,word,animals,produces,,,teddybear,
item_7,a01_07,word,animals,produces,,,horse,
item_8,a01_08,word,animals,produces,,,chicken,
item_9,a01_09,word,animals,produces,,,cow,
item_10,a01_10,word,animals,produces,,,rabbit,
item_11,a01_11,word,animals,produces,,,elephant,
item_12,a01_12,word,animals,produces,,,pig,
item_13,a01_13,word,animals,produces,,,ant,
item_14,a01_14,word,animals,produces,,,sheep,
item_15,a01_15,word,animals,produces,,,penguin,
item_16,a01_16,word,animals,produces,,,butterfly,
item_17,a01_17,word,animals,produces,,,monkey,
item_18,a01_18,word,animals,produces,,,tiger,
item_19,a01_19,word,animals,produces,,,bug,
item_20,a01_20,word,animals,produces,,,lion,
item_21,a01_21,word,animals,produces,,,turtle,
item_22,a01_22,word,animals,produces,,,frog,
item_23,a01_23,word,animals,produces,,,giraffe,
item_24,a01_24,word,animals,produces,,,mosquito,
item_25,a01_25,word,animals,produces,,,mouse,
item_26,a01_26,word,animals,produces,,,bee,
item_27,a01_27,word,animals,produces,,,crab,
item_28,a01_28,word,animals,produces,,,animal,
item_29,a01_29,word,animals,produces,,,zebra,
item_30,a01_30,word,animals,produces,,,deer,
item_31,a01_31,word,animals,produces,,,chicken,
item_32,a01_32,word,animals,produces,,,cockroach,
item_33,a01_33,word,animals,produces,,,alligator,
item_34,a01_34,word,animals,produces,,,caterpillar,
item_35,a01_35,word,animals,produces,,,shrimp,
item_36,a01_36,word,animals,produces,,,rooster,
item_37,a01_37,word,animals,produces,,,hippo,
item_38,a01_38,word,animals,produces,,,fly,
item_39,a01_39,word,animals,produces,,,snake,
item_40,a01_40,word,animals,produces,,,snail,
item_41,a01_41,word,animals,produces,,,sheep,
item_42,a01_42,word,animals,produces,,,wolf,
item_43,a01_43,word,animals,produces,,,dolphin,
item_44,a01_44,word,animals,produces,,,spider,
item_45,a01_45,word,animals,produces,,,goose,
item_46,a01_46,word,animals,produces,,,owl,
item_47,a01_47,word,animals,produces,,,squirrel,
item_48,a01_48,word,animals,produces,,,shark,
item_49,a01_49,word,animals,produces,,,dove/pigeon,
item_50,a01_50,word,animals,produces,,,hen,
item_51,a01_51,word,animals,produces,,,eagle,
item_52,a01_52,word,animals,produces,,,peacock,
item_53,a01_53,word,animals,produces,,,parrot,
item_54,a01_54,word,animals,produces,,,clam,
item_55,a01_55,word,animals,produces,,,earthworm,
item_56,a02_01,word,body_parts,produces,,,hand,
item_57,a02_02,word,body_parts,produces,,,eye,
item_58,a02_03,word,body_parts,produces,,,ear,
item_59,a02_04,word,body_parts,produces,,,mouth,
item_60,a02_05,word,body_parts,produces,,,tummy,
item_61,a02_06,word,body_parts,produces,,,feet,
item_62,a02_07,word,body_parts,produces,,,head,
item_63,a02_08,word,body_parts,produces,,,nose,
item_64,a02_09,word,body_parts,produces,,,hair,
item_65,a02_10,word,body_parts,produces,,,buttocks/bottom,
item_66,a02_11,word,body_parts,produces,,,belly button,
item_67,a02_12,word,body_parts,produces,,,penis,
item_68,a02_13,word,body_parts,produces,,,teeth,
item_69,a02_14,word,body_parts,produces,,,face,
item_70,a02_15,word,body_parts,produces,,,eyebrow,
item_71,a02_16,word,body_parts,produces,,,finger,
item_72,a02_17,word,body_parts,produces,,,tongue,
item_73,a02_18,word,body_parts,produces,,,neck,
item_74,a02_19,word,body_parts,produces,,,toe,
item_75,a02_20,word,body_parts,produces,,,vagina,
item_76,a02_21,word,body_parts,produces,,,nail,
item_77,a02_22,word,body_parts,produces,,,lip,
item_78,a02_23,word,body_parts,produces,,,back,
item_79,a02_24,word,body_parts,produces,,,chin,
item_80,a02_25,word,body_parts,produces,,,knee,
item_81,a02_26,word,body_parts,produces,,,shoulder,
item_82,a02_27,word,body_parts,produces,,,thigh,
item_83,a02_28,word,body_parts,produces,,,arm,
item_84,a02_29,word,body_parts,produces,,,leg,
item_85,a03_01,word,vehicles,produces,,,car,
item_86,a03_02,word,vehicles,produces,,,airplane,
item_87,a03_03,word,vehicles,produces,,,garbage truck,
item_88,a03_04,word,vehicles,produces,,,motorcycle,
item_89,a03_05,word,vehicles,produces,,,train,
item_90,a03_06,word,vehicles,produces,,,boat,
item_91,a03_07,word,vehicles,produces,,,bicycle,
item_92,a03_08,word,vehicles,produces,,,bus,
item_93,a03_09,word,vehicles,produces,,,stroller,
item_94,a03_10,word,vehicles,produces,,,tricycle,
item_95,a03_11,word,vehicles,produces,,,taxi,
item_96,a03_12,word,vehicles,produces,,,excavator,
item_97,a03_13,word,vehicles,produces,,,ambulance,
item_98,a03_14,word,vehicles,produces,,,firetruck,
item_99,a03_15,word,vehicles,produces,,,truck,
item_100,a03_16,word,vehicles,produces,,,helicopter,
item_101,a03_17,word,vehicles,produces,,,crane,
item_102,a04_01,word,food_drink,produces,,,milk,
item_103,a04_02,word,food_drink,produces,,,water,
item_104,a04_03,word,food_drink,produces,,,noodles,
item_105,a04_04,word,food_drink,produces,,,rice,
item_106,a04_05,word,food_drink,produces,,,cookies,
item_107,a04_06,word,food_drink,produces,,,banana,
item_108,a04_07,word,food_drink,produces,,,meat,
item_109,a04_08,word,food_drink,produces,,,egg,
item_110,a04_09,word,food_drink,produces,,,bread,
item_111,a04_10,word,food_drink,produces,,,apple,
item_112,a04_11,word,food_drink,produces,,,grap,
item_113,a04_12,word,food_drink,produces,,,candy,
item_114,a04_13,word,food_drink,produces,,,vegetable,
item_115,a04_14,word,food_drink,produces,,,strawberry,
item_116,a04_15,word,food_drink,produces,,,carrots,
item_117,a04_16,word,food_drink,produces,,,pudding,
item_118,a04_17,word,food_drink,produces,,,cake,
item_119,a04_18,word,food_drink,produces,,,watermelon,
item_120,a04_19,word,food_drink,produces,,,congee,
item_121,a04_20,word,food_drink,produces,,,guava,
item_122,a04_21,word,food_drink,produces,,,fruit,
item_123,a04_22,word,food_drink,produces,,,tomato,
item_124,a04_23,word,food_drink,produces,,,ice cream,
item_125,a04_24,word,food_drink,produces,,,juice,
item_126,a04_25,word,food_drink,produces,,,orange,
item_127,a04_26,word,food_drink,produces,,,cherry,
item_128,a04_27,word,food_drink,produces,,,raisin,
item_129,a04_28,word,food_drink,produces,,,soy milk,
item_130,a04_29,word,food_drink,produces,,,soda,
item_131,a04_30,word,food_drink,produces,,,drink,
item_132,a04_31,word,food_drink,produces,,,pear,
item_133,a04_32,word,food_drink,produces,,,steamed bread,
item_134,a04_33,word,food_drink,produces,,,toast,
item_135,a04_34,word,food_drink,produces,,,food,
item_136,a04_35,word,food_drink,produces,,,soup,
item_137,a04_36,word,food_drink,produces,,,Yakult,
item_138,a04_37,word,food_drink,produces,,,corn,
item_139,a04_38,word,food_drink,produces,,,papaya,
item_140,a04_39,word,food_drink,produces,,,sugar,
