itemID,item,type,category,choices,gloss,complexity_category,definition,uni_lemma
item_1,S1WEI,word,sounds,produces,,,喂？,
item_2,S1DOG,word,sounds,produces,woof woof,,旺旺（狗叫）,woof woof
item_3,S1CAT,word,sounds,produces,meow,,喵（猫叫）,meow
item_4,S1CAR,word,sounds,produces,vroom,,嘀嘀（汽车声）,vroom
item_5,S1AIYOU,word,sounds,produces,,,哎哟,
item_6,S1YA,word,sounds,produces,,,呀,
item_7,S1SHEEP,word,sounds,produces,baa baa,,咩咩（羊叫声）,baa baa
item_8,S1DUCK,word,sounds,produces,quack quack,,嘎嘎（鸭子叫）,quack quack
item_9,S1CHICK,word,sounds,produces,,,嘎嘎达（鸡叫）,
item_10,S1BANG,word,sounds,produces,bang,,梆梆（打枪）,bang
item_11,S1BIRD,word,sounds,produces,tweet tweet,,喳喳（鸟叫）,tweet tweet
item_12,S1LION,word,sounds,produces,,,嗷（狮子叫）,
item_13,P2MAMA,word,people,produces,mommy,,妈妈,mommy
item_14,P2BABA,word,people,produces,daddy,,爸爸,daddy
item_15,P2NAIN,word,people,produces,grandma,,奶奶,grandma
item_16,P2LAOL,word,people,produces,,,姥 姥,
item_17,P2YEYE,word,people,produces,grandpa,,爷爷,grandpa
item_18,P2LAOYE,word,people,produces,grandpa,,姥爷,grandpa
item_19,P2BAO,word,people,produces,baby,,宝宝,baby
item_20,P2NAME,word,people,produces,,,自己的名字,
item_21,P2AUNT,word,people,produces,aunt,,阿姨,aunt
item_22,P2GUGU,word,people,produces,aunt,,姑姑,aunt
item_23,P2SHU,word,people,produces,uncle,,叔叔,uncle
item_24,P2DADA,word,people,produces,,,伯伯（大大）,
item_25,P2JIU,word,people,produces,uncle,,舅舅,uncle
item_26,P2JIE,word,people,produces,sister,,姐姐,sister
item_27,P2MEIME,word,people,produces,sister,,妹妹,sister
item_28,P2GEGE,word,people,produces,brother,,哥哥,brother
item_29,P2DIDI,word,people,produces,brother,,弟弟,brother
item_30,P2FRNAM,word,people,produces,,,小朋友的名字,
item_31,P2DAMA,word,people,produces,,,大妈,
item_32,P2PERSO,word,people,produces,person,,人,person
item_33,P2HAIZI,word,people,produces,,,孩子/小孩/小朋友,
item_34,P2GIRL,word,people,produces,girl,,女孩,girl
item_35,P2BOY,word,people,produces,boy,,男孩,boy
item_36,P2MAN,word,people,produces,man,,男人,man
item_37,P2LAOSH,word,people,produces,teacher,,老师,teacher
item_38,P2POLIC,word,people,produces,policeman,,警察,policeman
item_39,P2DAIFU,word,people,produces,,,医生/大夫,
item_40,P2DONDU,word,people,produces,,,唐老鸭,
item_41,P2MICKY,word,people,produces,,,米老鼠,
item_42,P2SUNWU,word,people,produces,,,孙悟空,
item_43,P2ZHUBJ,word,people,produces,,,猪八戒,
item_44,P2PENGY,word,people,produces,,,朋友,
item_45,G3WANT,word,games_routines,produces,,,要,
item_46,G3NOTWA,word,games_routines,produces,don't,,不要,don't
item_47,G3BYE,word,games_routines,produces,bye,,再见/Byebye,bye
item_48,G3THANK,word,games_routines,produces,thank you,,谢谢,thank you
item_49,G3PEE,word,games_routines,produces,pee,,撒尿/尿尿,pee
item_50,G3POOP,word,games_routines,produces,poop,,拉屎/拉臭臭,poop
item_51,G3EAT,word,games_routines,produces,eat,,吃饭,eat
item_52,G3WASH,word,games_routines,produces,bath,,洗澡,bath
item_53,G3NAP,word,games_routines,produces,nap,,休息/歇会儿,nap
item_54,G3BUY,word,games_routines,produces,buy,,买(东西),buy
item_55,G3PHONE,word,games_routines,produces,phone,,打（电话）,phone
item_56,G3HIDE,word,games_routines,produces,hide and seek,,藏猫猫,hide and seek
item_57,G3GOTYA,word,games_routines,produces,,,抓（逮）住了!,
item_58,G3CLAP,word,games_routines,produces,clap,,你拍一，我拍一,clap
item_59,G3HI,word,games_routines,produces,hello,,你好,hello
