field,column,group,type
study_id,SubID,child,study_id
sex,Gender,child,sex
,Gender_num,,
data_age,Age,admin,data_age
mom_ed,Maternal_education,child,mom_ed
,Maternal_education_num,,
,Only_child,,
item_1,Ah,item,word
item_2,Ai,item,word
item_3,Au_Au,item,word
item_4,Chiu,item,word
item_5,Cócóró,item,word
item_6,Cu_cu,item,word
item_7,Eh,item,word
item_8,Ena,item,word
item_9,Hi_hi,item,word
item_10,Ió_ió,item,word
item_11,Mé_mé,item,word
item_12,Miau,item,word
item_13,Mu_muuu,item,word
item_14,Oh,item,word
item_15,Piu_piu,item,word
item_16,Pumba_pum,item,word
item_17,Quá_quá,item,word
item_18,Vrum_vrum,item,word
item_19,Tinoni,item,word
item_20,Ui,item,word
item_21,Uau,item,word
item_22,Upa_Upa,item,word
item_23,Abelha,item,word
item_24,Aranha,item,word
item_25,Baleia,item,word
item_26,Barata,item,word
item_27,Bicho,item,word
item_28,Boi,item,word
item_29,Borboleta,item,word
item_30,Burro,item,word
item_31,Camelo,item,word
item_32,Cão,item,word
item_33,Caracol,item,word
item_34,Carneiro,item,word
item_35,Cavalo,item,word
item_36,Cobra,item,word
item_37,Coelho,item,word
item_38,Crocodilo,item,word
item_39,Dinossauro,item,word
item_40,Elefante,item,word
item_41,Foca,item,word
item_42,Formiga,item,word
item_43,Gaivota,item,word
item_44,Galinha,item,word
item_45,Gato,item,word
item_46,Girafa,item,word
item_47,Golfinho,item,word
item_48,Hipopótamo,item,word
item_49,Joaninha,item,word
item_50,Leão,item,word
item_51,Lobo,item,word
item_52,Macaco,item,word
item_53,Melga,item,word
item_54,Mosca,item,word
item_55,Mosquito,item,word
item_56,Ovelha,item,word
item_57,Panda,item,word
item_58,Pássaro,item,word
item_59,Pato,item,word
item_60,Peixe,item,word
item_61,Pinguim,item,word
item_62,Porco,item,word
item_63,Rato,item,word
item_64,Sapo,item,word
item_65,Tartaruga,item,word
item_66,Tigre,item,word
item_67,Urso,item,word
item_68,Vaca,item,word
item_69,Zebra,item,word
item_70,Ambulância,item,word
item_71,Autocarro,item,word
item_72,Avião,item,word
item_73,Barço,item,word
item_74,Bicicleta,item,word
item_75,Camião,item,word
item_76,Carro,item,word
item_77,Comboio,item,word
item_78,Helicóptero,item,word
item_79,Moto,item,word
item_80,Táxi,item,word
item_81,Trator,item,word
item_82,Triciclo,item,word
item_83,Balão,item,word
item_84,Bola,item,word
item_85,Boneca,item,word
item_86,Caneta,item,word
item_87,Computador,item,word
item_88,Cozinha,item,word
item_89,Guizo,item,word
item_90,Jogos,item,word
item_91,Lápis,item,word
item_92,Legos,item,word
item_93,Livro,item,word
item_94,Peluche,item,word
item_95,Pião,item,word
item_96,Puzzle,item,word
item_97,Roda,item,word
item_98,Água,item,word
item_99,Alface,item,word
item_100,Ameixas,item,word
item_101,Ananás,item,word
item_102,Arroz,item,word
item_103,Banana,item,word
item_104,Batatas,item,word
item_105,Batats_fritas,item,word
item_106,Bife,item,word
item_107,Bolachas,item,word
item_108,Bolo,item,word
item_109,Café,item,word
item_110,Canja,item,word
item_111,Carne,item,word
item_112,Cenoura,item,word
item_113,Cereais,item,word
item_114,Cerveja,item,word
item_115,Chá,item,word
item_116,Chocolate,item,word
item_117,Chupa_chupa,item,word
item_118,Coca_cola,item,word
item_119,Comida,item,word
item_120,Compota,item,word
item_121,Couve,item,word
item_122,Creme,item,word
item_123,Dióspiros,item,word
item_124,Ervilhas,item,word
item_125,Feijão,item,word
item_126,Fiambre,item,word
item_127,Frango,item,word
item_128,Fruta,item,word
item_129,Gelado,item,word
item_130,Gelatina,item,word
item_131,Iogurte,item,word
item_132,Kiwi,item,word
item_133,Laranja,item,word
item_134,Leite,item,word
item_135,Limão,item,word
item_136,Maça,item,word
item_137,Manga,item,word
item_138,Manteiga,item,word
item_139,Marmelada,item,word
item_140,Massa,item,word
item_141,Melancia,item,word
item_142,Melão,item,word
item_143,Milho,item,word
item_144,Morango,item,word
item_145,Nozes,item,word
item_146,Ovo,item,word
item_147,Pão,item,word
item_148,Papa,item,word
item_149,Pêra,item,word
item_150,Pêssego,item,word
item_151,Pizza,item,word
item_152,Queijo,item,word
item_153,Rissol,item,word
item_154,Salsicha,item,word
item_155,Sopa,item,word
item_156,Sumo,item,word
item_157,Tangerina,item,word
item_158,Tomate,item,word
item_159,Uvas,item,word
item_160,Vinho,item,word
item_161,Anel,item,word
item_162,Babete,item,word
item_163,Bata,item,word
item_164,Bibe,item,word
item_165,Boné,item,word
item_166,Botão,item,word
item_167,Botas,item,word
