field,column,group,type
data_age,month,admin,data_age
sex,sex,child,sex
study_id,study_id,child,study_id
item_1,d1brr,item,word
item_2,d1baba,item,word
item_3,d1grr,item,word
item_4,d1kuck,item,word
item_5,d1kvack,item,word
item_6,d1mjau,item,word
item_7,d1mu,item,word
item_8,d1mums,item,word
item_9,d1tuff,item,word
item_10,d1vov,item,word
item_11,d2anka,item,word
item_12,d2apa,item,word
item_13,d2bi,item,word
item_14,d2bjorn,item,word
item_15,d2djur,item,word
item_16,d2ekorre,item,word
item_17,d2elefan,item,word
item_18,d2fisk,item,word
item_19,d2fagel,item,word
item_20,d2far,item,word
item_21,d2giraff,item,word
item_22,d2gris,item,word
item_23,d2groda,item,word
item_24,d2gas,item,word
item_25,d2hund,item,word
item_26,d2hast,item,word
item_27,d2kanin,item,word
item_28,d2katt,item,word
item_29,d2kisse,item,word
item_30,d2ko,item,word
item_31,d2kyckl,item,word
item_32,d2lamm,item,word
item_33,d2lejon,item,word
item_34,d2mus,item,word
item_35,d2nalle,item,word
item_36,d2pingvi,item,word
item_37,d2ponny,item,word
item_38,d2skalba,item,word
item_39,d2skoldp,item,word
item_40,d2tiger,item,word
item_41,d2uggla,item,word
item_42,d2valp,item,word
item_43,d2asna,item,word
item_44,d3barnva,item,word
item_45,d3bil,item,word
item_46,d3brandb,item,word
item_47,d3buss,item,word
item_48,d3cykel,item,word
item_49,d3flygpl,item,word
item_50,d3lastbi,item,word
item_51,d3motorc,item,word
item_52,d3trakto,item,word
item_53,d3tag,item,word
item_54,d4ballon,item,word
item_55,d4bok,item,word
item_56,d4boll,item,word
item_57,d4docka,item,word
item_58,d4kloss,item,word
item_59,d4leksa,item,word
item_60,d4penna,item,word
item_61,d4sapbub,item,word
item_62,d5apels,item,word
item_63,d5banan,item,word
item_64,d5brod,item,word
item_65,d5fisk,item,word
item_66,d5fling,item,word
item_67,d5glass,item,word
item_68,d5godis,item,word
item_69,d5juice,item,word
item_70,d5kaffe,item,word
item_71,d5kaka,item,word
item_72,d5kex,item,word
item_73,d5kyckli,item,word
item_74,d5kott,item,word
item_75,d5kottbu,item,word
item_76,d5mat,item,word
item_77,d5mjolk,item,word
item_78,d5morot,item,word
item_79,d5ost,item,word
item_80,d5pannka,item,word
item_81,d5pizza,item,word
item_82,d5ris,item,word
item_83,d5russin,item,word
item_84,d5smor,item,word
item_85,d5macka,item,word
item_86,d5spaget,item,word
item_87,d5skorpa,item,word
item_88,d5vatten,item,word
item_89,d5agg,item,word
item_90,d5apple,item,word
item_91,d5artor,item,word
item_92,d6blixtl,item,word
item_93,d6bloja,item,word
item_94,d6byxa,item,word
item_95,d6halsba,item,word
item_96,d6jacka,item,word
item_97,d6jeans,item,word
item_98,d6knapp,item,word
item_99,d6kangor,item,word
item_100,d6mossa,item,word
item_101,d6nattli,item,word
item_102,d6overal,item,word
item_103,d6pyjama,item,word
item_104,d6parlor,item,word
item_105,d6skjort,item,word
item_106,d6sko,item,word
item_107,d6socka,item,word
item_108,d6stovel,item,word
item_109,d6troja,item,word
item_110,d6vantar,item,word
item_111,d7ansikt,item,word
item_112,d7arm,item,word
item_113,d7ben,item,word
item_114,d7finger,item,word
item_115,d7fot,item,word
item_116,d7haka,item,word
item_117,d7hand,item,word
item_118,d7huvud,item,word
item_119,d7har,item,word
item_120,d7kind,item,word
item_121,d7kna,item,word
item_122,d7mage,item,word
item_123,d7mun,item,word
item_124,d7navel,item,word
item_125,d7nasa,item,word
item_126,d7stjart,item,word
